# Real-space Fourier biases.
# AbacusSummit_high_c000_ph100
# z=3.00
# Nobj=46839142, Ndm=750143999
#   k[h/Mpc]              ba              bx             Pmm
  5.0000e-03     2.01707e+00     2.01127e+00     1.35774e+03
  1.5000e-02     2.05836e+00     2.05518e+00     2.19599e+03
  2.5000e-02     2.04117e+00     2.03813e+00     2.08081e+03
  3.5000e-02     2.05714e+00     2.05289e+00     1.80804e+03
  4.5000e-02     2.05079e+00     2.04591e+00     1.38397e+03
  5.5000e-02     2.05133e+00     2.04546e+00     1.18123e+03
  6.5000e-02     2.05773e+00     2.05105e+00     1.08971e+03
  7.5000e-02     2.05748e+00     2.04944e+00     8.83673e+02
  8.5000e-02     2.05488e+00     2.04495e+00     7.37820e+02
  9.5000e-02     2.06621e+00     2.05338e+00     5.75343e+02
  1.0500e-01     2.07573e+00     2.06097e+00     5.00417e+02
  1.1500e-01     2.07319e+00     2.05667e+00     4.45643e+02
  1.2500e-01     2.07476e+00     2.05755e+00     4.25018e+02
  1.3500e-01     2.08067e+00     2.06081e+00     3.76303e+02
  1.4500e-01     2.09013e+00     2.06983e+00     3.53432e+02
  1.5500e-01     2.09506e+00     2.07016e+00     2.91606e+02
  1.6500e-01     2.10036e+00     2.07238e+00     2.58041e+02
  1.7500e-01     2.09763e+00     2.06737e+00     2.41283e+02
  1.8500e-01     2.10537e+00     2.07325e+00     2.21061e+02
  1.9500e-01     2.10352e+00     2.06983e+00     2.12194e+02
  2.0500e-01     2.11514e+00     2.07775e+00     1.90110e+02
  2.1500e-01     2.12002e+00     2.07894e+00     1.74349e+02
  2.2500e-01     2.12599e+00     2.08069e+00     1.57260e+02
  2.3500e-01     2.13253e+00     2.08439e+00     1.46123e+02
  2.4500e-01     2.13877e+00     2.08731e+00     1.37320e+02
  2.5500e-01     2.13726e+00     2.08307e+00     1.27814e+02
  2.6500e-01     2.14221e+00     2.08522e+00     1.22591e+02
  2.7500e-01     2.14983e+00     2.08709e+00     1.12278e+02
  2.8500e-01     2.15497e+00     2.08994e+00     1.05497e+02
  2.9500e-01     2.16140e+00     2.09148e+00     9.87388e+01
  3.0500e-01     2.16654e+00     2.09441e+00     9.33823e+01
  3.1500e-01     2.16960e+00     2.09191e+00     8.77252e+01
  3.2500e-01     2.17382e+00     2.09368e+00     8.41888e+01
  3.3500e-01     2.18401e+00     2.09804e+00     7.90420e+01
  3.4500e-01     2.18720e+00     2.09634e+00     7.46506e+01
  3.5500e-01     2.19143e+00     2.09790e+00     7.15976e+01
  3.6500e-01     2.19669e+00     2.09861e+00     6.85168e+01
  3.7500e-01     2.20175e+00     2.09944e+00     6.49261e+01
  3.8500e-01     2.21078e+00     2.10328e+00     6.19175e+01
  3.9500e-01     2.21014e+00     2.09869e+00     5.94868e+01
  4.0500e-01     2.21265e+00     2.09743e+00     5.68706e+01
  4.1500e-01     2.22536e+00     2.10513e+00     5.45196e+01
  4.2500e-01     2.23230e+00     2.10716e+00     5.21054e+01
  4.3500e-01     2.23751e+00     2.10612e+00     4.96501e+01
  4.4500e-01     2.23887e+00     2.10221e+00     4.78774e+01
  4.5500e-01     2.24579e+00     2.10529e+00     4.61602e+01
  4.6500e-01     2.24754e+00     2.10201e+00     4.45647e+01
  4.7500e-01     2.25703e+00     2.10446e+00     4.25548e+01
  4.8500e-01     2.26293e+00     2.10562e+00     4.09222e+01
  4.9500e-01     2.26883e+00     2.10683e+00     3.94754e+01
