# Real-space configuration biases.
# AbacusSummit_high_c000_ph100
# z=2.50
# Nobj=16000000, Ndm=16000000
#   r[Mpc/h]              ba              bx           xi_mm
  4.4926e-01     1.76432e+00     1.57527e+00     3.46243e+00
  5.7214e-01     1.82868e+00     1.69293e+00     2.26581e+00
  7.2862e-01     1.86322e+00     1.77330e+00     1.54798e+00
  9.2790e-01     1.86478e+00     1.81247e+00     1.09873e+00
  1.1817e+00     1.85229e+00     1.81576e+00     7.98371e-01
  1.5049e+00     1.83420e+00     1.80977e+00     5.88144e-01
  1.9165e+00     1.81335e+00     1.79455e+00     4.35202e-01
  2.4406e+00     1.79675e+00     1.78166e+00     3.22065e-01
  3.1081e+00     1.78247e+00     1.77148e+00     2.36518e-01
  3.9582e+00     1.77496e+00     1.77011e+00     1.71462e-01
  5.0408e+00     1.76488e+00     1.76199e+00     1.23213e-01
  6.4195e+00     1.75617e+00     1.75374e+00     8.71550e-02
  8.1752e+00     1.75157e+00     1.74972e+00     6.02819e-02
  1.0411e+01     1.74956e+00     1.74756e+00     4.05861e-02
  1.3259e+01     1.74759e+00     1.74645e+00     2.63940e-02
  1.6885e+01     1.74519e+00     1.74471e+00     1.65910e-02
  2.1503e+01     1.74080e+00     1.74029e+00     1.00278e-02
  2.7384e+01     1.73793e+00     1.74006e+00     5.72949e-03
  3.4874e+01     1.73437e+00     1.73723e+00     3.13412e-03
  4.4412e+01     1.74018e+00     1.73834e+00     1.54697e-03
