# Monte-Carlo calculation of wR using 1024 mocks.
# Field cosmos_N501
# Centered on (150.091,2.190)
# Number density is 4.684e-02
# Sampling by 0.0201 to get 192.6 LAEs/deg2
# Have 1779.0+/-126.08 LAEs/field.
# chi0=4448.000000Mpc/h.
# Correlation matrix is:
#   1.0000   0.0611   0.0923   0.0751   0.1451   0.1257   0.1531   0.0775   0.0826   0.0704
#   0.0611   1.0000   0.1144   0.1232   0.1873   0.1736   0.1768   0.1457   0.1371   0.1129
#   0.0923   0.1144   1.0000   0.2009   0.1847   0.2524   0.2629   0.2622   0.2226   0.1580
#   0.0751   0.1232   0.2009   1.0000   0.2799   0.3030   0.2843   0.3236   0.2517   0.2048
#   0.1451   0.1873   0.1847   0.2799   1.0000   0.4469   0.4360   0.4238   0.3713   0.3104
#   0.1257   0.1736   0.2524   0.3030   0.4469   1.0000   0.5391   0.5649   0.5194   0.4199
#   0.1531   0.1768   0.2629   0.2843   0.4360   0.5391   1.0000   0.6666   0.6049   0.4896
#   0.0775   0.1457   0.2622   0.3236   0.4238   0.5649   0.6666   1.0000   0.7560   0.6392
#   0.0826   0.1371   0.2226   0.2517   0.3713   0.5194   0.6049   0.7560   1.0000   0.7801
#   0.0704   0.1129   0.1580   0.2048   0.3104   0.4199   0.4896   0.6392   0.7801   1.0000
# R[Mpc/h]              wR             dwR
     0.566     6.41132e-01     2.71349e-01
     0.838     5.20031e-01     1.76586e-01
     1.239     4.29640e-01     1.22281e-01
     1.832     3.50003e-01     8.72726e-02
     2.709     2.78507e-01     6.15437e-02
     4.005     2.18089e-01     4.70361e-02
     5.923     1.62430e-01     3.89971e-02
     8.758     1.13313e-01     3.14917e-02
    12.951     7.29795e-02     2.57976e-02
    19.152     4.21204e-02     2.06916e-02
